"
Asset Name",Company,"
Is Existing Asset",Gross Purchase Amount
INDUSTRIAL FAN 30INCH 750MM  WALL MOUNT FAN - ALMONARD MAKE,KML,1,1000
LOCKER,KML,1,1000
MACHINE,KML,1,1000
HYDRO PNEUMATIC CYLINDER,KML,1,1000
UPS SYSTEM,KML,1,1000
AUTO K400 MIG WELDING M/C,KML,1,1000
SERVO MOTOR,KML,1,1000
EXHAUST SYSTEM,KML,1,1000
MS WELDED MESH 30MMX30MMX13 SWG - (4 FT. X 50 FT) ROLL,KML,1,1000
PEDESTAL,KML,1,1000
SINGLE HEAD MATRIX  LUNA 500 SAW,KML,1,1000
DIE,KML,1,1000
PLATE,KML,1,1000
MS ZINC PLATED ROLLER,KML,1,1000
SPLIT AC,KML,1,1000
HYDRAULLIC HAND PALLET TROLLEY - 1150X550,KML,1,1000
MS SQUARE TUBE,KML,1,1000
FACILITY CHARGES FOR 4 MINI BULK & PIPING INSTALLATION SYSTEM,KML,1,1000
Motoman Robot Model : 2010-AS PER ANNEXURE,KML,1,1000
APFC PANNEL,KML,1,1000
BLOWER,KML,1,1000
3 HP VERTICLE DRILL MACHINE HEAVY DUTY,KML,1,1000
CHEQUERED PLATE,KML,1,1000
ROLLER,KML,1,1000
PLAIN SHEET,KML,1,1000
ALUMINIUM SECTION,KML,1,1000
PARTICAL BOARD,KML,1,1000
HARDWARE MATERIAL,KML,1,1000
TABLE,KML,1,1000
FRONIUS POWER SOURCE MODEL -TPS 400I,KML,1,1000
POWDER COATING CHARGES,KML,1,1000
DEGREE CUTTING MACHINE,KML,1,1000
CUPBOARD,KML,1,1000
WHITE PLAIN GLASS,KML,1,1000
EXTRUSION MOULD,KML,1,1000
INDUCTION MOTOR,KML,1,1000
LM GUIDE,KML,1,1000
GI DUCT,KML,1,1000
GI HOOD,KML,1,1000
MS STAND,KML,1,1000
TROLLEY,KML,1,1000
WORKSTATION,KML,1,1000
KEYBOARD TRAY,KML,1,1000
REFRIGERATOR,KML,1,1000
EXIDE MAKE 12V/42 AH SMF BATTERY,KML,1,1000
BATTERY RACK,KML,1,1000
SAMSUNG REFRIGERATOR,KML,1,1000
FORKLIFT,KML,1,1000
