Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Profile,Standard or NonStandard
50 C,Aluminium,Kg,50 C,76041031,NA,Mill,NATURAL,290,0,1000,Non-Standard
55 C,Aluminium,Kg,55 C,76041031,6061/T6,Mill,NATURAL,290,0,1001,Irregular
60 C,Aluminium,Kg,60 C,76041031,6061/T6,Mill,NATURAL,290,0,1002,Standard
75 C,Aluminium,Kg,75 C,76041031,6061/T6,Mill,NATURAL,290,0,1005,Non-Standard
80 C,Aluminium,Kg,80 C,76041031,6061/T6,Mill,NATURAL,290,0,1006,Non-Standard
90 C,Aluminium,Kg,90 C,76041031,6061/T6,Mill,NATURAL,290,0,1008,Non-Standard
95 C,Aluminium,Kg,95 C,76041031,6061/T6,Mill,NATURAL,290,0,1009,Standard
100 C,Aluminium,Kg,100 C,76041031,6061/T6,Mill,NATURAL,290,0,1010,Standard
65 C,Aluminium,Kg,65 C,76041031,6061/T6,Mill,NATURAL,290,0,1003,Non-Standard
70 C,Aluminium,Kg,70 C,76041031,6061/T6,Mill,NATURAL,290,0,1004,Non-Standard
85 C,Aluminium,Kg,85 C,76041031,6061/T6,Mill,NATURAL,290,0,1007,Non-Standard
105 C,Aluminium,Kg,105 C,76041031,6061/T6,Mill,NATURAL,290,0,1011,Non-Standard
110 C,Aluminium,Kg,110 C,76041031,6061/T6,Mill,NATURAL,290,0,1012,Non-Standard
115 C,Aluminium,Kg,115 C,76041031,6061/T6,Mill,NATURAL,290,0,1013,Non-Standard
120 C,Aluminium,Kg,120 C,76041031,6061/T6,Mill,NATURAL,290,0,1014,Non-Standard
125 C,Aluminium,Kg,125 C,76041031,6061/T6,Mill,NATURAL,290,0,1015,Standard
130 C,Aluminium,Kg,130 C,76041031,6061/T6,Mill,NATURAL,290,0,1016,Non-Standard
135 C,Aluminium,Kg,135 C,76041031,6061/T6,Mill,NATURAL,290,0,1017,Non-Standard
140 C,Aluminium,Kg,140 C,76041031,6061/T6,Mill,NATURAL,290,0,1018,Non-Standard
145 C,Aluminium,Kg,145 C,76041031,6061/T6,Mill,NATURAL,290,0,1019,Non-Standard
150 C,Aluminium,Kg,150 C,76041031,6061/T6,Mill,NATURAL,290,0,1020,Standard
160 C,Aluminium,Kg,160 C,76041031,6061/T6,Mill,NATURAL,290,0,1022,Non-Standard
165 C,Aluminium,Kg,165 C,76041031,6061/T6,Mill,NATURAL,290,0,1023,Non-Standard
170 C,Aluminium,Kg,170 C,76041031,6061/T6,Mill,NATURAL,290,0,1024,Non-Standard
175 C,Aluminium,Kg,175 C,76041031,6061/T6,Mill,NATURAL,290,0,1025,Standard
180 C,Aluminium,Kg,180 C,76041031,6061/T6,Mill,NATURAL,290,0,1026,Non-Standard
185 C,Aluminium,Kg,185 C,76041031,6061/T6,Mill,NATURAL,290,0,1027,Non-Standard
190 C,Aluminium,Kg,190 C,76041031,6061/T6,Mill,NATURAL,290,0,1028,Non-Standard
195 C,Aluminium,Kg,195 C,76041031,6061/T6,Mill,NATURAL,290,0,1029,Non-Standard
200 C,Aluminium,Kg,200 C,76041031,6061/T6,Mill,NATURAL,290,0,1030,Standard
210 C,Aluminium,Kg,210 C,76041031,6061/T6,Mill,NATURAL,290,0,1032,Non-Standard
225 C,Aluminium,Kg,225 C,76041031,6061/T6,Mill,NATURAL,290,0,1035,Non-Standard
230 C,Aluminium,Kg,230 C,76041031,6061/T6,Mill,NATURAL,290,0,1036,Non-Standard
240 C,Aluminium,Kg,240 C,76041031,6061/T6,Mill,NATURAL,290,0,1038,Non-Standard
250 C,Aluminium,Kg,250 C,76041031,6061/T6,Mill,NATURAL,290,0,1040,Standard
260 C,Aluminium,Kg,260 C,76041031,6061/T6,Mill,NATURAL,290,0,1042,Non-Standard
70 IC,Aluminium,Kg,70 IC,76041031,6061/T6,Mill,NATURAL,290,0,1061,Non-Standard
75 IC,Aluminium,Kg,75 IC,76041031,6061/T6,Mill,NATURAL,290,0,1062,Non-Standard
80 IC,Aluminium,Kg,80 IC,76041031,6061/T6,Mill,NATURAL,290,0,1063,Non-Standard
85 IC,Aluminium,Kg,85 IC,76041031,6061/T6,Mill,NATURAL,290,0,1064,Non-Standard
90 IC,Aluminium,Kg,90 IC,76041031,6061/T6,Mill,NATURAL,290,0,1065,Non-Standard
95 IC,Aluminium,Kg,95 IC,76041031,6061/T6,Mill,NATURAL,290,0,1066,Non-Standard
100 IC,Aluminium,Kg,100 IC,76041031,6061/T6,Mill,NATURAL,290,0,1067,Standard
110 IC,Aluminium,Kg,110 IC,76041031,6061/T6,Mill,NATURAL,290,0,1069,Non-Standard
115 IC,Aluminium,Kg,115 IC,76041031,6061/T6,Mill,NATURAL,290,0,1070,Non-Standard
120 IC,Aluminium,Kg,120 IC,76041031,6061/T6,Mill,NATURAL,290,0,1071,Non-Standard
125 IC,Aluminium,Kg,125 IC,76041031,6061/T6,Mill,NATURAL,290,0,1072,Standard
130 IC,Aluminium,Kg,130 IC,76041031,6061/T6,Mill,NATURAL,290,0,1073,Non-Standard
140 IC,Aluminium,Kg,140 IC,76041031,6061/T6,Mill,NATURAL,290,0,1075,Non-Standard
150 IC,Aluminium,Kg,150 IC,76041031,6061/T6,Mill,NATURAL,290,0,1077,Non-Standard
160 IC,Aluminium,Kg,160 IC,76041031,6061/T6,Mill,NATURAL,290,0,1079,Non-Standard
170 IC,Aluminium,Kg,170 IC,76041031,6061/T6,Mill,NATURAL,290,0,1081,Non-Standard
175 IC,Aluminium,Kg,175 IC,76041031,6061/T6,Mill,NATURAL,290,0,1082,Non-Standard
180 IC,Aluminium,Kg,180 IC,76041031,6061/T6,Mill,NATURAL,290,0,1083,Non-Standard
190 IC,Aluminium,Kg,190 IC,76041031,6061/T6,Mill,NATURAL,290,0,1085,Non-Standard
200 IC,Aluminium,Kg,200 IC,76041031,6061/T6,Mill,NATURAL,290,0,1087,Non-Standard
RK 50,Aluminium,Kg,RK 50,76041031,6061/T6,Mill,NATURAL,290,0,1111,Standard
60 RK,Aluminium,Kg,60 RK,76041031,6061/T6,Mill,NATURAL,290,0,1112,Non-Standard
75 RK,Aluminium,Kg,75 RK,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
RK 100,Aluminium,Kg,RK 100,76041031,6061/T6,Mill,NATURAL,290,0,1113,Non-Standard
RK 125,Aluminium,Kg,RK 125,76041031,6061/T6,Mill,NATURAL,290,0,1114,Non-Standard
RK 150,Aluminium,Kg,RK 150,76041031,6061/T6,Mill,NATURAL,290,0,1115,Non-Standard
EB/MB 100,Aluminium,Kg,EB/MB 100,76041031,6061/T6,Mill,NATURAL,290,0,1121,Standard
STIFFNER,Aluminium,Kg,STIFFNER,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
FLAT RAIL,Aluminium,Kg,FLAT RAIL,76041031,6061/T6,Mill,NATURAL,290,0,1105,Standard
83MM END CAP,Aluminium,Kg,83MM END CAP,76041031,6061/T6,Mill,NATURAL,290,0,1124,Standard
CORNER NEW,Aluminium,Kg,CORNER NEW,76041031,6061/T6,Mill,NATURAL,290,0,1128,Standard
100 IC (97 D),Aluminium,Kg,100 IC (97 D),76041031,6061/T6,Mill,NATURAL,290,0,1089,Irregular
100 IC (102 D),Aluminium,Kg,100 IC (102 D),76041031,6061/T6,Mill,NATURAL,290,0,1090,Irregular
100 IC (117 D),Aluminium,Kg,100 IC (117 D),76041031,6061/T6,Mill,NATURAL,290,0,1091,Irregular
J 20,Aluminium,Kg,J 20,76041031,6061/T6,Mill,NATURAL,290,0,1092,Irregular
J 30,Aluminium,Kg,J 30,76041031,6061/T6,Mill,NATURAL,290,0,1093,Non-Standard
J 40,Aluminium,Kg,J 40,76041031,6061/T6,Mill,NATURAL,290,0,1094,Non-Standard
J 50,Aluminium,Kg,J 50,76041031,6061/T6,Mill,NATURAL,290,0,1095,Non-Standard
J 60,Aluminium,Kg,J 60,76041031,6061/T6,Mill,NATURAL,290,0,1096,Non-Standard
J 70,Aluminium,Kg,J 70,76041031,6061/T6,Mill,NATURAL,290,0,1097,Non-Standard
EC (83 D),Aluminium,Kg,EC (83 D),76041031,6061/T6,Mill,NATURAL,290,0,1119,Irregular
EC (78 D),Aluminium,Kg,EC (78 D),76041031,6061/T6,Mill,NATURAL,290,0,1118,Irregular
EC (63 D),Aluminium,Kg,EC (63 D),76041031,6061/T6,Mill,NATURAL,290,0,1117,Irregular
125 SL,Aluminium,Kg,125 SL,76041031,6061/T6,Mill,NATURAL,290,0,1100,Standard
100 SL,Aluminium,Kg,100 SL,76041031,6061/T6,Mill,NATURAL,290,0,1099,Non-Standard
BEAM BAR,Aluminium,Kg,BEAM BAR,76041031,6061/T6,Mill,NATURAL,0,0,1127,Standard
JLB,Aluminium,Kg,JLB,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
EC (4.5MM),Aluminium,Kg,EC (4.5MM),76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
EC,Aluminium,Kg,EC,76041031,6061/T6,Mill,NATURAL,290,0,1116,Standard
DRIP MOULD GROOVE,Aluminium,Kg,DRIP MOULD GROOVE,76041031,6061/T6,Mill,NATURAL,290,0,1142,Non-Standard
GROOVE 31x25x10,Aluminium,Kg,GROOVE 31x25x10,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 25.80x18,Aluminium,Kg,GROOVE 25.80x18,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 53.60x50x35,Aluminium,Kg,GROOVE 53.60x50x35,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 52.55x50x25,Aluminium,Kg,GROOVE 52.55x50x25,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 33.07x32x20,Aluminium,Kg,GROOVE 33.07x32x20,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 54.20x50x40,Aluminium,Kg,GROOVE 54.20x50x40,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 70.80x65x55,Aluminium,Kg,GROOVE 70.80x65x55,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
GROOVE 25x24x25,Aluminium,Kg,GROOVE 25x24x25,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 105x100x10,Aluminium,Kg,GROOVE 105x100x10,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 130x120x20,Aluminium,Kg,GROOVE 130x120x20,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 53x50x30,Aluminium,Kg,GROOVE 53x50x30,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 70x50x40,Aluminium,Kg,GROOVE 70x50x40,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
GROOVE 50x40x75,Aluminium,Kg,GROOVE 50x40x75,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 50x30x25,Aluminium,Kg,GROOVE 50x30x25,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 40x30x10,Aluminium,Kg,GROOVE 40x30x10,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 105x100x30,Aluminium,Kg,GROOVE 105x100x30,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 155x150x30,Aluminium,Kg,GROOVE 155x150x30,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 5473,Aluminium,Kg,GROOVE 5473,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
130 SL,Aluminium,Kg,130 SL,76041031,6061/T6,Mill,NATURAL,290,0,1101,Non-Standard
BKS PATTI,Aluminium,Kg,BKS PATTI,76041031,6061/T6,Mill,NATURAL,0,0,1135,Standard
SUPPORT PATTI 35MM,Aluminium,Kg,SUPPORT PATTI 35MM,76041031,6061/T6,Mill,NATURAL,290,0,1133,Standard
65 MM FLAT RAIL,Aluminium,Kg,65 MM FLAT RAIL,76041031,6061/T6,Mill,NATURAL,290,0,1106,Non-Standard
SIDE RAIL,Aluminium,Kg,SIDE RAIL,76041031,6061/T6,Mill,NATURAL,290,0,1108,Irregular
E STIFFNER,Aluminium,Kg,E STIFFNER,76041031,6061/T6,Mill,NATURAL,290,0,1110,Non-Standard
210 FLAT SECTION,Aluminium,Kg,210 FLAT SECTION,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
SECTION 230,Aluminium,Kg,SECTION 230,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
EC (87 D),Aluminium,Kg,EC (87 D),76041031,6061/T6,Mill,NATURAL,290,0,1120,Irregular
EC 5MM,Aluminium,Kg,EC 5MM,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
155 C,Aluminium,Kg,155 C,76041031,6061/T6,Mill,NATURAL,290,0,1021,Non-Standard
100 IC (92 D),Aluminium,Kg,100 IC (92 D),76041031,6061/T6,Mill,NATURAL,290,0,1088,Irregular
GROOVE 55x45x40,Aluminium,Kg,GROOVE 55x45x40,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
GROOVE 85x75x50,Aluminium,Kg,GROOVE 85x75x50,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
GROOVE 85x75x40,Aluminium,Kg,GROOVE 85x75x40,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
500 C,Aluminium,Kg,500 C,76041031,6061/T6,Mill,NATURAL,290,0,1056,Standard
450 C,Aluminium,Kg,450 C,76041031,6061/T6,Mill,NATURAL,290,0,1055,Standard
400 C,Aluminium,Kg,400 C,76041031,6061/T6,Mill,NATURAL,290,0,1054,Standard
360 C,Aluminium,Kg,360 C,76041031,6061/T6,Mill,NATURAL,290,0,1053,Non-Standard
350 C,Aluminium,Kg,350 C,76041031,6061/T6,Mill,NATURAL,290,0,1052,Standard
300 C,Aluminium,Kg,300 C,76041031,6061/T6,Mill,NATURAL,290,0,1050,Standard
320 C,Aluminium,Kg,320 C,76041031,6061/T6,Mill,NATURAL,290,0,1051,Non-Standard
255 T,Aluminium,Kg,255 T,76041031,6061/T6,Mill,NATURAL,290,0,1164,Non-Standard
330 T,Aluminium,Kg,330 T,76041031,6061/T6,Mill,NATURAL,290,0,1167,Non-Standard
RK,Aluminium,Kg,RK,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
300 L,Aluminium,Kg,300 L,76041031,6061/T6,Mill,NATURAL,290,0,1141,Standard
600 C,Aluminium,Kg,600 C,76041031,6061/T6,Mill,NATURAL,290,0,1058,Standard
STR 315*150,Aluminium,Kg,STR 315*150,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
STR 365*150,Aluminium,Kg,STR 365*150,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
STR 315*160,Aluminium,Kg,STR 315*160,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
STR 315*175,Aluminium,Kg,STR 315*175,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
SECTION 330,Aluminium,Kg,SECTION 330,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
SECTION 290,Aluminium,Kg,SECTION 290,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
380 T,Aluminium,Kg,380 T,76041031,6061/T6,Mill,NATURAL,290,0,1169,Non-Standard
270 C,Aluminium,Kg,270 C,76041031,6061/T6,Mill,NATURAL,290,0,1044,Non-Standard
SECTION 280,Aluminium,Kg,SECTION 280,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
5141,Aluminium,Kg,5141,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
100MM END CAP,Aluminium,Kg,100MM END CAP,76041031,6061/T6,NA,NATURAL,0,0,1125,Standard
140 PATTI,Aluminium,Kg,140 PATTI,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
220 C,Aluminium,Kg,220 C,76041031,6061/T6,Mill,NATURAL,290,0,1034,Non-Standard
275 C,Aluminium,Kg,275 C,76041031,6061/T6,Mill,NATURAL,290,0,1045,Non-Standard
280 C,Aluminium,Kg,280 C,76041031,6061/T6,Mill,NATURAL,290,0,1046,Non-Standard
60 IC,Aluminium,Kg,60 IC,76041031,6061/T6,Mill,NATURAL,290,0,1059,Non-Standard
FLAT 400,Aluminium,Kg,FLAT 400,76041031,6061/T6,NA,NATURAL,290,0,,Non-Standard
RK 175,Aluminium,Kg,RK 175,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
SECTION 205,Aluminium,Kg,SECTION 205,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
KM 05,Aluminium,Kg,KM 05,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
KM 09,Aluminium,Kg,KM 09,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
C STIFFNER,Aluminium,Kg,C STIFFNER,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
DP 100,Aluminium,Kg,DP 100,76041031,6061/T6,Mill,NATURAL,290,0,1122,Standard
GROOVE 5474,Aluminium,Kg,GROOVE 5474,76041031,6061/T6,Mill,NATURAL,290,0,1144,Non-Standard
GROOVE 5475,Aluminium,Kg,GROOVE 5475,76041031,6061/T6,Mill,NATURAL,0,0,1145,Non-Standard
GROOVE 5476,Aluminium,Kg,GROOVE 5476,76041031,6061/T6,Mill,NATURAL,0,0,1146,Non-Standard
SECTION 255,Aluminium,Kg,SECTION 255,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
SL DEGREE 92,Aluminium,Kg,SL DEGREE 92,76041031,6061/T6,Mill,NATURAL,290,0,1104,Non-Standard
