Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC
DRILL CHUCK SLEEVE 1/2 INCH,Consumable,Nos,DRILL CHUCK SLEEVE 1/2 INCH,98059000
HEX BOLT,Consumable,Nos,HEX BOLT,98059000
APKT-16-40-C16-100L-3T MILLING MACHINE ROTOR,Consumable,Nos,APKT-16-40-C16-100L-3T MILLING MACHINE ROTOR,98059000
APKT-1604PDFR-MA ROTOR INSERT,Consumable,Nos,APKT-1604PDFR-MA ROTOR INSERT,98059000
CHEMICAL TANK/ BOTTLE FISCHER,Consumable,Nos,CHEMICAL TANK/ BOTTLE FISCHER,98059000
5 MTR MEASURING TAPE,Consumable,Nos,5 MTR MEASURING TAPE,98059000
3 MTR MEASURING TAPE,Consumable,Nos,3 MTR MEASURING TAPE,98059000
WELDING NOZZLE FOR ESAB 405 WELDING TORCH,Consumable,Nos,WELDING NOZZLE FOR ESAB 405 WELDING TORCH,98059000
TEFLON LINER 3 MTR - 1.6 MM PSF 405 ESAB,Consumable,Nos,TEFLON LINER 3 MTR - 1.6 MM PSF 405 ESAB,98059000
ARGON REGULATOR,Consumable,Nos,ARGON REGULATOR,98059000
6 MM DRILL BIT,Consumable,Nos,6 MM DRILL BIT,98059000
TIP ADAPTOR ESAB,Consumable,Nos,TIP ADAPTOR ESAB,98059000
MANUAL WELDING NOZZLE,Consumable,Nos,MANUAL WELDING NOZZLE,98059000
TEFLON TAPE,Consumable,Nos,TEFLON TAPE,98059000
ROBOT WELDING TIP 1.2 MM,Consumable,Nos,ROBOT WELDING TIP 1.2 MM,98059000
CONTACT TIP LINCOLN,Consumable,Nos,CONTACT TIP LINCOLN,98059000
COTTON HAND GLOVES,Consumable,Nos,COTTON HAND GLOVES,98059000
LASHING BELT BUCKLE 25 MM,Consumable,Nos,LASHING BELT BUCKLE 25 MM,98059000
16 MM DRILL BIT,Consumable,Nos,16 MM DRILL BIT,98059000
WOODEN PALLET 1200X2400,Consumable,Nos,WOODEN PALLET 1200X2400,98059000
COTTAN MASK,Consumable,Nos,COTTAN MASK,98059000
QD CLEAR LACQUER,Consumable,Nos,QD CLEAR LACQUER,98059000
HOLE SAW BIT-  16 MM,Consumable,Nos,HOLE SAW BIT-  16 MM,98059000
POLYTHENE FILM/WRAPPING ROLL,Consumable,Nos,POLYTHENE FILM/WRAPPING ROLL,98059000
4 INCH CUTTING MACHINE,Consumable,Nos,4 INCH CUTTING MACHINE,98059000
INSULATION TAPE,Consumable,Nos,INSULATION TAPE,98059000
LASHING BELT 25 MM,Consumable,Nos,LASHING BELT 25 MM,98059000
METALIC DRAG CHAIN WITH END CLOSE CONNECTOR 7000*80*45MM,Consumable,Nos,METALIC DRAG CHAIN WITH END CLOSE CONNECTOR 7000*80*45MM,98059000
MANUAL WELDING TORCH,Consumable,Nos,MANUAL WELDING TORCH,98059000
TEFLON LINER - 3 MTR- 1.6 MM PSF 415 ESAB MAKE,Consumable,Nos,TEFLON LINER - 3 MTR- 1.6 MM PSF 415 ESAB MAKE,98059000
TIP ADAPTOR ESAB MAKE,Consumable,Nos,TIP ADAPTOR ESAB MAKE,98059000
MANUAL WELDING TIP 1.2 MM,Consumable,Nos,MANUAL WELDING TIP 1.2 MM,98059000
CONTACT TIP - 1.4 MM - FRONIUS MAKE,Consumable,Nos,CONTACT TIP - 1.4 MM - FRONIUS MAKE,98059000
STRETCH FILM - 500 MM - 51 MICRON,Consumable,Nos,STRETCH FILM - 500 MM - 51 MICRON,98059000
14 INCH CUTTING MACHINE,Consumable,Nos,14 INCH CUTTING MACHINE,98059000
WALL MOUNTING,Consumable,Nos,WALL MOUNTING,98059000
GYPSUM VERTICAL,Consumable,Nos,GYPSUM VERTICAL,98059000
LIGHT CUTTING,Consumable,Nos,LIGHT CUTTING,98059000
GYPSUM GURU .,Consumable,Nos,GYPSUM GURU .,98059000
WIRE SPOOL 1.2MM 5356 GRADE-9KG,Consumable,Nos,WIRE SPOOL 1.2MM 5356 GRADE-9KG,98059000
PUNCHING MACHINE,Consumable,Nos,PUNCHING MACHINE,98059000
4 INCH FLAP DISC,Consumable,Nos,4 INCH FLAP DISC,98059000
ROBOT WELDING TIP 1.4 MM,Consumable,Nos,ROBOT WELDING TIP 1.4 MM,98059000
THERMAMETER,Consumable,Nos,THERMAMETER,98059000
Ant Esports ICE-511MT Mid Tower  Cabinet Computer,Consumable,Nos,Ant Esports ICE-511MT Mid Tower  Cabinet Computer,98059000
SPATTER GAURD (DIA 10/DIA 20.8X24MM) PART NO.- 42.0405.0854,Consumable,Nos,SPATTER GAURD (DIA 10/DIA 20.8X24MM) PART NO.- 42.0405.0854,98059000
BARCODE STICKER 100MM*50MM LABEL,Consumable,Nos,BARCODE STICKER 100MM*50MM LABEL,98059000
BARCODE CARBON ROLL,Consumable,Nos,BARCODE CARBON ROLL,98059000
BARCODE STICKER ROLL,Consumable,Nos,BARCODE STICKER ROLL,98059000
