Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Profile,Standard or NonStandard
KOEL CARE COOLANT,General,LTR,KOEL CARE COOLANT,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
MATERIAL ISSUE SLIP,General,Nos,MATERIAL ISSUE SLIP,76041031,NA,NA,NA,100,0,0,Non-Standard
FSW TOOL- TC MATERIAL,General,Nos,FSW TOOL- TC MATERIAL,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
HARD BROOM,General,Nos,HARD BROOM,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
SOFT BROOM,General,Nos,SOFT BROOM,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
COLIN,General,LTR,COLIN,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
HARPIC,General,LTR,HARPIC,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
FLOOR CLEANER LIQUID,General,LTR,FLOOR CLEANER LIQUID,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
ACIED FOR (TOILET CLEANING),General,LTR,ACIED FOR (TOILET CLEANING),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
SANITAIZER,General,LTR,SANITAIZER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
ODONIL,General,Nos,ODONIL,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
STAPLER,General,Nos,STAPLER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
CLEANING CHEMICAL,General,LTR,CLEANING CHEMICAL,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
BUFFING PAPER,General,Nos,BUFFING PAPER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
ARGON CYLINDER,General,Nos,ARGON CYLINDER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
CEILING FAN - USHA MAKE,General,Nos,CEILING FAN - USHA MAKE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
BOX FILE,General,Nos,BOX FILE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
SPRING FILE/FLAT FILE,General,Nos,SPRING FILE/FLAT FILE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
PENCIL,General,Nos,PENCIL,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
SAFETY JACKET GREEN,General,Nos,SAFETY JACKET GREEN,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
WET MOP,General,Nos,WET MOP,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
DRY MOP,General,Nos,DRY MOP,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
WIPER,General,Nos,WIPER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
FIRST AID CONTENT,General,Nos,FIRST AID CONTENT,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
DELIVERY CHALLAN BOOK,General,Nos,DELIVERY CHALLAN BOOK,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
RIBBON (105X300 MTR) RESIN NK25,General,Nos,RIBBON (105X300 MTR) RESIN NK25,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
COPPER LUG 50 SQ MM (RING TYPE),General,Nos,COPPER LUG 50 SQ MM (RING TYPE),76041031,NA,NA,NA,100,0,0,Non-Standard
FLAT FILE,General,Nos,FLAT FILE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
LOCK,General,Nos,LOCK,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
PAPER PUNCHING MACHINE,General,Nos,PAPER PUNCHING MACHINE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
FLOOR CLEANING LIQUID,General,LTR,FLOOR CLEANING LIQUID,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
ACID,General,LTR,ACID,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
LASHING BELT MACHINE-TAIWAN MAKE (19-32MM),General,Nos,LASHING BELT MACHINE-TAIWAN MAKE (19-32MM),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
NOZZLE (PLAZMA),General,Nos,NOZZLE (PLAZMA),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
ALLEN BOLT M5*35MM WITH FLAT WASHER (FULL THREADED)- TVS MAKE,General,Nos,ALLEN BOLT M5*35MM WITH FLAT WASHER (FULL THREADED)- TVS MAKE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
CABLE TIE-150 MM LENGTH,General,Nos,CABLE TIE-150 MM LENGTH,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
COPPER LUG 70 SQ MM (RING TYPE),General,Nos,COPPER LUG 70 SQ MM (RING TYPE),76041031,NA,NA,NA,100,0,0,Non-Standard
REGISTER,General,Nos,REGISTER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
18 X 12 LATINA WALL DADO,General,Nos,18 X 12 LATINA WALL DADO,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
12 X 12 LATINA ANTI SKID TYPE,General,Nos,12 X 12 LATINA ANTI SKID TYPE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
"FRONIUS GAS NOZZLE- DIA15/DIA25X61 CT M23X2 (42,0001,4474,5)",General,Nos,"FRONIUS GAS NOZZLE- DIA15/DIA25X61 CT M23X2 (42,0001,4474,5)",76041031,NA,NA,NATURAL,100,0,0,Non-Standard
3 WAY PNEUMATIC SWITCH- AIRMAX MAKE,General,Nos,3 WAY PNEUMATIC SWITCH- AIRMAX MAKE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
INGRAVING LABLES,General,Nos,INGRAVING LABLES,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
CABLE TIE-300MM LENGTH,General,PKT,CABLE TIE-300MM LENGTH,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
USE & THROW PEN (BLUE) - NATRAJ MAKE,General,Nos,USE & THROW PEN (BLUE) - NATRAJ MAKE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
WHITENER,General,Nos,WHITENER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
ARGON CYLINDER CONNECTOR,General,Nos,ARGON CYLINDER CONNECTOR,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
HAND WASH,General,LTR,HAND WASH,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
NAPTHALENE CUBE,General,Nos,NAPTHALENE CUBE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
TISSUE PAPER,General,Nos,TISSUE PAPER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
AGARSON MAKE SAFETY SHOES - 8 NO.,General,Nos,AGARSON MAKE SAFETY SHOES - 8 NO.,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
AGARSON MAKE SAFETY SHOES - 7 NO.,General,Nos,AGARSON MAKE SAFETY SHOES - 7 NO.,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
SAFETY SHOES,General,Nos,SAFETY SHOES,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
AGARSON MAKE SAFETY SHOES - 9 NO.,General,Nos,AGARSON MAKE SAFETY SHOES - 9 NO.,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
AGARSON MAKE  SAFETY SHOES - 10 NO.,General,Nos,AGARSON MAKE  SAFETY SHOES - 10 NO.,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
SHARPNER (OFFICE USE),General,Nos,SHARPNER (OFFICE USE),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
6 SQ MM LUG - ID 8MM,General,Meter,6 SQ MM LUG - ID 8MM,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
UHP GAS ARGON 99.999%,General,Nos,UHP GAS ARGON 99.999%,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
PAPER RIM,General,Nos,PAPER RIM,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
COTTON WASTE (CHINDI),General,Kg,COTTON WASTE (CHINDI),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
10X12 COMPUTER PAPER (CUT LENTH -100MM WIDTH-255MM),General,Box,10X12 COMPUTER PAPER (CUT LENTH -100MM WIDTH-255MM),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
V BELT B-76,General,Nos,V BELT B-76,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
REFRIGERATED AIR DRYER - SPIN MAKE (150 CFM),General,Nos,REFRIGERATED AIR DRYER - SPIN MAKE (150 CFM),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
2.5 SQ MM 3 CORE COPPER FLEXIBLE CABLE-POLYCAB,General,Meter,2.5 SQ MM 3 CORE COPPER FLEXIBLE CABLE-POLYCAB,76041031,COPPER,NA,NATURAL,100,0,0,Non-Standard
SERVICE CHARGES,General,Nos,SERVICE CHARGES,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
CRUSH SAND,General,Brass,CRUSH SAND,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
DEGREE PROTECTOR,General,Nos,DEGREE PROTECTOR,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
