Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Profile,Item Type Standard
PIPE 60 OD X 2 THK,MS,Kg,PIPE 60 OD X 2 THK,,NA,Finished,BLACK PAINTED,0,0,,Non-Standard
WALL TIE 370 MM,MS,Kg,WALL TIE 370 MM,,NA,NA,BLACK PAINTED,0,0,,Non-Standard
WALL TIE 475 MM,MS,Kg,WALL TIE 475 MM,,NA,NA,BLACK PAINTED,0,0,,Non-Standard
WALL TIE 490 MM,MS,Kg,WALL TIE 490 MM,,NA,NA,BLACK PAINTED,0,0,,Non-Standard
WALL TIE 665 MM,MS,Kg,WALL TIE 665 MM,,NA,Finished,BLACK PAINTED,0,0,,Non-Standard
WALL TIE 520 MM,MS,Kg,WALL TIE 520 MM,,NA,NA,BLACK PAINTED,0,0,,Non-Standard
MS PROP 2.0 X 1.8 AS PER NEW DWG,MS,Kg,MS PROP 2.0 X 1.8 AS PER NEW DWG,,NA,NA,BLUE PAINTED,0,0,,Non-Standard
PROP-0.75 X 0.5,MS,Kg,PROP-0.75 X 0.5,,NA,Finished,BLUE PAINTED,0,0,,Non-Standard
SP-CORNER BKT - LH (H-500 ),MS,Kg,SP-CORNER BKT - LH (H-500 ),,NA,Finished,BLUE PAINTED,0,0,,Non-Standard
SP-CORNER BKT- LH ( H - 500 ),MS,Kg,SP-CORNER BKT- LH ( H - 500 ),,NA,Finished,BLUE PAINTED,0,0,,Non-Standard
SP-CORNER BKT - D TYPE - LH ( H-350 ),MS,Kg,SP-CORNER BKT - D TYPE - LH ( H-350 ),,NA,Finished,BLUE PAINTED,0,0,,Non-Standard
SP - CORNER BKT- D- TYPE  LH ( H-350 ),MS,Kg,SP - CORNER BKT- D- TYPE  LH ( H-350 ),,NA,Finished,BLUE PAINTED,0,0,,Non-Standard
SP-CORNER BKT- RH - ( H-500 ),MS,Kg,SP-CORNER BKT- RH - ( H-500 ),,NA,Finished,BLUE PAINTED,0,0,,Non-Standard
SP-CORNER BKT- D- TYPE - RH (H-350 ),MS,Kg,SP-CORNER BKT- D- TYPE - RH (H-350 ),,NA,Finished,BLUE PAINTED,0,0,,Non-Standard
SP-CORNER BKT- RH - D-TYPE- ( H-350),MS,Kg,SP-CORNER BKT- RH - D-TYPE- ( H-350),,NA,Finished,BLUE PAINTED,0,0,,Non-Standard
PROP 2.0 X 2.5,MS,Kg,PROP 2.0 X 2.5,,NA,Finished,BLUE PAINTED,0,0,,Non-Standard
PROP 2X1.5-2.5MM THK TP-125,MS,Kg,PROP 2X1.5-2.5MM THK TP-125,,NA,NA,BLUE PAINTED,0,0,,Non-Standard
PROP 2X1.5-2.5MM THK TP-80X80X5MM,MS,Kg,PROP 2X1.5-2.5MM THK TP-80X80X5MM,,NA,NA,BLUE PAINTED,0,0,,Non-Standard
PROP 0.75X0.75-2.5MM THK TP-95,MS,Kg,PROP 0.75X0.75-2.5MM THK TP-95,,NA,NA,BLUE PAINTED,0,0,,Non-Standard
PROP 1.5X1-2.5MM THK TP-95,MS,Kg,PROP 1.5X1-2.5MM THK TP-95,,NA,NA,BLUE PAINTED,0,0,,Non-Standard
PROP 1.5X1-2.5MM THK PLB,MS,Kg,PROP 1.5X1-2.5MM THK PLB,,NA,NA,BLUE PAINTED,0,0,,Non-Standard
