Company,Item Code,Asset Name`,Location,Available-for-use Date,Gross Purchase Amount,Purchase Date,Custodian,Item Name,Asset Owner,Asset Owner Company,Is Existing Asset,Asset Category,Department,Serial No,Model No,Asset Quantity,Description
Knest Manufacturers LLP,Keyboard,Keyboard Wired,Head Office,01/04/2022,500,01/04/2022,KA0854,Keyboard,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,,,1,
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,01/04/2022,30000,01/04/2022,KA0854,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,AA038,MS-7D82,1,"Desktop	i5/16 GB RAM/512 SSD keyboard mouse 22 inch screen"
Knest Manufacturers LLP,Mouse,Wireless,Head Office,01/09/2022,500,01/09/2022,KA0691,Mouse,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,ABCD,25,1,Wireless mouse 
Knest Manufacturers LLP,Laptop,Laptop,Head Office,01/07/2022,50000,01/07/2022,KA0691,Laptop,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,SLIM 3 0YIN,PF367RL1,1,Intel core i5 11 gen 24 gb ram 512 gbssd
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,01/03/2022,45000,01/03/2022,KA0729,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,10FGA06YIJ,PG00QPFM,1,"Desktop	i5/16 GB RAM/512 SSD keyboard mouse 22 inch screen"
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,01/03/2022,45000,01/03/2022,KA0727,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,PCOCM7NK,10FGA06YIJ,1,"Desktop	i5/16 GB RAM/512 SSD keyboard mouse 22 inch screen"
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,01/04/2022,45000,01/04/2022,KA0861,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,H410M,MS7D82,1,"Desktop	i5/16 GB RAM/512 SSD keyboard mouse 22 inch screen"
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,01/03/2022,45000,01/03/2022,KA0842,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,AA432,H410M,1,"Desktop	i5/16 GB RAM/512 SSD keyboard mouse 22 inch screen"
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,07/07/2022,45000,07/07/2022,KA0862,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,AA449,H510M-E,1,"Desktop	i5/16 GB RAM/512 SSD keyboard mouse 22 inch screen"
Knest Manufacturers LLP,Laptop,Laptop,Head Office,05/06/2022,32000,05/06/2022,KA0210,Laptop,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,MBN0CX21A067466,X515FA,1,i3/4 GB RAM/240 SSD
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,06/06/2022,70000,06/06/2022,KA0805,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,AA633,H310,1,"Desktop	i9/32 GB RAM/512 SSD keyboard mouse 22 inch screen"
Knest Manufacturers LLP,CPU,DesktopCPU,Factory-Talegaon,10/06/2020,30000,10/06/2020,KA0147,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,AAK63,H310,1,"Desktop	i5/16 GB RAM/512 SSD keyboard mouse 22 inch screen"
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,16/05/2022,45000,16/05/2022,KA0809,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,AA449,H510M-E,1,"Desktop	i5/16 GB RAM/512 SSD keyboard mouse 22 inch screen"
Knest Manufacturers LLP,CPU,DesktopCPU,Factory-Talegaon,11/01/2022,30000,11/01/2022,KA0711,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,IT - KML,ASA231,H510M-E,1,"Desktop	i5/16 GB RAM/512 SSD keyboard mouse 22 inch screen"
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,03/03/2017,60000,03/03/2017,KA0004,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,Design - KML,Z170,92376,1,Intel core i7 11 gen 16 gb ram 512 gb ssd
Knest Manufacturers LLP,Laptop,Laptop,Head Office,03/03/2022,22000,03/03/2022,KA0004,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,Design - KML,4CZ1251R3Z,8560P,1,Intel core 17 /8 gb ram/ 500 HDD
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,13/12/2021,40000,13/12/2021,KA0657,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,Design - KML,AA773,H310,1,Intel i5/16 gb ram /500 hdd
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,05/01/2021,40000,05/01/2021,KA0231,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,Design - KML,AA729,B85M,1,Intel i5/16 gb ram /500 hdd
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,16/12/2021,41000,16/12/2021,KA0665,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,Design - KML,AA868,MS7C09,1,I5/8 GB RAM/500 HDD
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,06/12/2021,44000,06/12/2021,KA0639,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,Design - KML,AA867,MS7C09,1,Intel i5/16 gb ram /500 hdd
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,07/06/2022,44000,07/06/2022,KA0860,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,Design - KML,AA603,H310,1,Intel i5/16 gb ram /500 hdd
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,07/01/2019,44000,07/01/2019,KA0025,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,Design - KML,AAOEN,H310,1,Intel i5/16 gb ram /500 hdd
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,06/07/2020,44000,06/07/2020,KA0116,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,Design - KML,AA973,H310,1,Intel i5/16 gb ram /500 hdd
Knest Manufacturers LLP,CPU,DesktopCPU,Head Office,03/01/2022,44000,03/01/2022,KA0694,CPU,Company,Knest Manufacturers LLP,1,Fixed Asset IT,Design - KML,AA993,MS7C09,1,Intel i5/8 gb ram /500 hdd
